filename,cate,rules,description,problem_cnt,FP,XML_Path
GuardLogStatement24.java,bestpractices,GuardLogStatement,false negative inside lambdas,2,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement25.java,bestpractices,GuardLogStatement,nullpointerexception applying rule guardlogstatement (#3340),0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
PreserveStackTrace0.java,bestpractices,PreserveStackTrace,"1, exception thrown without preserving stack",1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace1.java,bestpractices,PreserveStackTrace,"2, exception thrown, stack preserved",0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace2.java,bestpractices,PreserveStackTrace,"3, exception thrown, stack preserved",0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace3.java,bestpractices,PreserveStackTrace,"4, no exception thrown, ok",0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace4.java,bestpractices,PreserveStackTrace,"5, no exception thrown, ok",0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace5.java,bestpractices,PreserveStackTrace,"6, no exception thrown, ok",0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace6.java,bestpractices,PreserveStackTrace,"7, no exception thrown, ok",0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace7.java,bestpractices,PreserveStackTrace,"8, no exception thrown, ok",0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace8.java,bestpractices,PreserveStackTrace,"9, excetion is cast, ok",0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace9.java,bestpractices,PreserveStackTrace,"10, throwing new exception, ok",0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace10.java,bestpractices,PreserveStackTrace,"11, throwing new exception, ok",0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace11.java,bestpractices,PreserveStackTrace,"12, catch and throw runtimeexception",0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace12.java,bestpractices,PreserveStackTrace,"13, catch and throw runtimeexception, fail",1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace13.java,bestpractices,PreserveStackTrace,"14, nested with same name catch and throw, fail on inner",1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace14.java,bestpractices,PreserveStackTrace,"15, illegalstateexception can take a cause exception in the constructor, too.",1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace15.java,bestpractices,PreserveStackTrace,"16, false -, no violations reported by preservestacktrace rule",1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace16.java,bestpractices,PreserveStackTrace,"17, preservestacktrace rule should exclude this as initcause is used.",0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace17.java,bestpractices,PreserveStackTrace,"18, side effects on rules",1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace18.java,bestpractices,PreserveStackTrace,"19, false positive",0,true,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace19.java,bestpractices,PreserveStackTrace,"20, false positive",0,true,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace20.java,bestpractices,PreserveStackTrace,"21, java 7's multi-catch, nok",1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace21.java,bestpractices,PreserveStackTrace,"22, java 7's multi-catch, ok",0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace22.java,bestpractices,PreserveStackTrace,#943 preservestacktrace false positive if a stringbuffer exists,0,true,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace23.java,bestpractices,PreserveStackTrace,#1087 preservestacktrace (still) ignores initcause(),0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace24.java,bestpractices,PreserveStackTrace,#1087 preservestacktrace (still) ignores initcause() - negative test case,1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace25.java,bestpractices,PreserveStackTrace,#794 false positive on preservestacktrace with anonymous inner,0,true,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace26.java,bestpractices,PreserveStackTrace,#422 false positive when using builder pattern,0,true,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
PreserveStackTrace27.java,bestpractices,PreserveStackTrace,#543 false negative with string concatenation,3,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/PreserveStackTrace.xml
ReplaceVectorWithList0.java,bestpractices,ReplaceVectorWithList,"bad, local variable of type vector",1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/ReplaceVectorWithList.xml
ReplaceVectorWithList1.java,bestpractices,ReplaceVectorWithList,"bad, param of type vector",1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/ReplaceVectorWithList.xml
JUnitTestsShouldIncludeAssert0.java,bestpractices,JUnitTestsShouldIncludeAssert,contains assert,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert1.java,bestpractices,JUnitTestsShouldIncludeAssert,missing assert,1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert2.java,bestpractices,JUnitTestsShouldIncludeAssert,all ok,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert3.java,bestpractices,JUnitTestsShouldIncludeAssert,two wrong,2,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert4.java,bestpractices,JUnitTestsShouldIncludeAssert,contains fail,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert5.java,bestpractices,JUnitTestsShouldIncludeAssert,one wrong,1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert6.java,bestpractices,JUnitTestsShouldIncludeAssert,skip interfaces,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert7.java,bestpractices,JUnitTestsShouldIncludeAssert,skip abstract methods,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert8.java,bestpractices,JUnitTestsShouldIncludeAssert,another fail() case,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert9.java,bestpractices,JUnitTestsShouldIncludeAssert,bug 1105633 - false +: junit testcases could have fail() instead of assert,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert10.java,bestpractices,JUnitTestsShouldIncludeAssert,bug 1146116 pmdexception with inner interfaces,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert11.java,bestpractices,JUnitTestsShouldIncludeAssert,skip static test methods,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert12.java,bestpractices,JUnitTestsShouldIncludeAssert,exceptions shouldn't block it,1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert13.java,bestpractices,JUnitTestsShouldIncludeAssert,not a junit test (exceptions shouldn't block it),0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert14.java,bestpractices,JUnitTestsShouldIncludeAssert,junit 4 test (exceptions shouldn't block it),1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert15.java,bestpractices,JUnitTestsShouldIncludeAssert,junit 4 static import,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert16.java,bestpractices,JUnitTestsShouldIncludeAssert,junit 4 test using assert.assert...,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert17.java,bestpractices,JUnitTestsShouldIncludeAssert,#968 issues with junit4 @test annotation with expected exception,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert18.java,bestpractices,JUnitTestsShouldIncludeAssert,#285 issues with @rule annotation and expectedexception,1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert19.java,bestpractices,JUnitTestsShouldIncludeAssert,#285 follow-up for @org.junit.rule,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert20.java,bestpractices,JUnitTestsShouldIncludeAssert,#330 rule treats allocationexpression correctly,1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert21.java,bestpractices,JUnitTestsShouldIncludeAssert,#330 npe accessing local field / method with this.xxx,1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert22.java,bestpractices,JUnitTestsShouldIncludeAssert,#358 treat mockito's verify as assert expressions,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert23.java,bestpractices,JUnitTestsShouldIncludeAssert,#358 treat mockito's mockito.verify as assert expressions,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert24.java,bestpractices,JUnitTestsShouldIncludeAssert,#465 nullpointerexception when dealing with @suppresswarnings,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert25.java,bestpractices,JUnitTestsShouldIncludeAssert,#1365 detect test classes marked with fully qualified annotation.,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert26.java,bestpractices,JUnitTestsShouldIncludeAssert,#1435 treat assertj soft assertions as assert expressions,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert27.java,bestpractices,JUnitTestsShouldIncludeAssert,#1435 treat assertj soft assertions as assert expressions - missing assertall,2,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert28.java,bestpractices,JUnitTestsShouldIncludeAssert,#1435 treat assertj soft assertion rule for junit 4 as assert expressions,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert29.java,bestpractices,JUnitTestsShouldIncludeAssert,#647 junittestsshouldincludeassertrule should support `this.exception` as well as just `exception`,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert30.java,bestpractices,JUnitTestsShouldIncludeAssert,#2288 junittestsshouldincludeassertrule should support `matchers.assertthat`,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert31.java,bestpractices,JUnitTestsShouldIncludeAssert,assertj and junit5,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert32.java,bestpractices,JUnitTestsShouldIncludeAssert,junit5,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnitTestsShouldIncludeAssert33.java,bestpractices,JUnitTestsShouldIncludeAssert,nested test classes,1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnitTestsShouldIncludeAssert.xml
JUnit5TestShouldBePackagePrivate0.java,bestpractices,JUnit5TestShouldBePackagePrivate,public modifier is not necessary on a test method nor on the class,2,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnit5TestShouldBePackagePrivate.xml
JUnit5TestShouldBePackagePrivate1.java,bestpractices,JUnit5TestShouldBePackagePrivate,package private modifiers are what is required,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnit5TestShouldBePackagePrivate.xml
JUnit5TestShouldBePackagePrivate2.java,bestpractices,JUnit5TestShouldBePackagePrivate,private method modifiers should be reported by rule 'junit5testnoprivatemodifier' and ignored by rule 'junit5testshouldbepackageprivate',0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnit5TestShouldBePackagePrivate.xml
JUnit5TestShouldBePackagePrivate3.java,bestpractices,JUnit5TestShouldBePackagePrivate,private modifiers for inner classes should be reported by rule 'junit5testnoprivatemodifier' and ignored by rule 'junit5testshouldbepackageprivate',0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnit5TestShouldBePackagePrivate.xml
JUnit5TestShouldBePackagePrivate4.java,bestpractices,JUnit5TestShouldBePackagePrivate,public modifier is allowed on an abstract test classes,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnit5TestShouldBePackagePrivate.xml
JUnit5TestShouldBePackagePrivate5.java,bestpractices,JUnit5TestShouldBePackagePrivate,public modifier is allowed on test interfaces,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnit5TestShouldBePackagePrivate.xml
JUnit5TestShouldBePackagePrivate6.java,bestpractices,JUnit5TestShouldBePackagePrivate,public and protected modifiers on all junit5 test types should be rejected,5,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnit5TestShouldBePackagePrivate.xml
JUnit5TestShouldBePackagePrivate7.java,bestpractices,JUnit5TestShouldBePackagePrivate,public junit4 tests are not flagged,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnit5TestShouldBePackagePrivate.xml
AbstractClassWithoutAbstractMethod0.java,bestpractices,AbstractClassWithoutAbstractMethod,concrete class,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/AbstractClassWithoutAbstractMethod.xml
AbstractClassWithoutAbstractMethod1.java,bestpractices,AbstractClassWithoutAbstractMethod,failure case,1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/AbstractClassWithoutAbstractMethod.xml
AbstractClassWithoutAbstractMethod2.java,bestpractices,AbstractClassWithoutAbstractMethod,"failure case, 1 method",1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/AbstractClassWithoutAbstractMethod.xml
AbstractClassWithoutAbstractMethod3.java,bestpractices,AbstractClassWithoutAbstractMethod,abstract class with abstract method,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/AbstractClassWithoutAbstractMethod.xml
AbstractClassWithoutAbstractMethod4.java,bestpractices,AbstractClassWithoutAbstractMethod,abstract class implements interface,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/AbstractClassWithoutAbstractMethod.xml
JUnit4TestShouldUseBeforeAnnotation0.java,bestpractices,JUnit4TestShouldUseBeforeAnnotation,contains setup,1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnit4TestShouldUseBeforeAnnotation.xml
JUnit4TestShouldUseBeforeAnnotation1.java,bestpractices,JUnit4TestShouldUseBeforeAnnotation,contains @setup,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnit4TestShouldUseBeforeAnnotation.xml
JUnit4TestShouldUseBeforeAnnotation2.java,bestpractices,JUnit4TestShouldUseBeforeAnnotation,renamed setup,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnit4TestShouldUseBeforeAnnotation.xml
JUnit4TestShouldUseBeforeAnnotation3.java,bestpractices,JUnit4TestShouldUseBeforeAnnotation,#1400 false positive with junit4testshouldusebeforeannotation,0,true,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnit4TestShouldUseBeforeAnnotation.xml
JUnit4TestShouldUseBeforeAnnotation4.java,bestpractices,JUnit4TestShouldUseBeforeAnnotation,#1446 false positive with junit4testshouldusebeforeannotation when testng is used,0,true,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnit4TestShouldUseBeforeAnnotation.xml
JUnit4TestShouldUseBeforeAnnotation5.java,bestpractices,JUnit4TestShouldUseBeforeAnnotation,#940 false positive with junit4testshouldusebeforeannotation when junit5's 'beforeeach' is used,0,true,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnit4TestShouldUseBeforeAnnotation.xml
JUnit4TestShouldUseBeforeAnnotation6.java,bestpractices,JUnit4TestShouldUseBeforeAnnotation,#940 false positive with junit4testshouldusebeforeannotation when junit5's 'beforeall' is used,0,true,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/JUnit4TestShouldUseBeforeAnnotation.xml
UnusedAssignment0.java,bestpractices,UnusedAssignment,npe on nested record decl #3224,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/UnusedAssignment.xml
UnusedAssignment1.java,bestpractices,UnusedAssignment,ok,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/UnusedAssignment.xml
UnusedAssignment2.java,bestpractices,UnusedAssignment,dd anomaly,1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/UnusedAssignment.xml
UnusedAssignment3.java,bestpractices,UnusedAssignment,du anomaly,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/UnusedAssignment.xml
UnusedAssignment4.java,bestpractices,UnusedAssignment,du anomaly (reportunusedvariables),1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/UnusedAssignment.xml
UnusedAssignment5.java,bestpractices,UnusedAssignment,ur anomaly,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/UnusedAssignment.xml
UnusedAssignment6.java,bestpractices,UnusedAssignment,conditional flow 0,2,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/UnusedAssignment.xml
UnusedAssignment7.java,bestpractices,UnusedAssignment,conditional flow 1,1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/UnusedAssignment.xml
UnusedAssignment8.java,bestpractices,UnusedAssignment,conditional flow 2,1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/UnusedAssignment.xml
UnusedAssignment9.java,bestpractices,UnusedAssignment,conditional flow with abrupt throw,2,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/UnusedAssignment.xml
UnusedAssignment10.java,bestpractices,UnusedAssignment,conditional flow with abrupt return,2,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/UnusedAssignment.xml
UnusedAssignment11.java,bestpractices,UnusedAssignment,local variable in loop,4,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/UnusedAssignment.xml
